,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
298,Gifu-2010-013a,Central Japan,36.4,136.9,0,0,0.7,0,0,0.2,0,0
299,Gifu-2010-013b,Central Japan,36.4,136.9,0,0,0.7,0,0,0.3,0,0
300,Gifu-2010-013c,Central Japan,36.4,136.9,0,0,0.7,0,0,0.2,0,0
301,Gifu-2010-013d,Central Japan,36.4,136.9,0,0,0.7,0.1,0,0.2,0,0
302,Gifu-2010-013e,Central Japan,36.4,136.9,0,0,0.8,0,0,0.2,0,0
303,Gifu-2010-014,Msa,36.2,137.2,0,0,0,0,0,0,0.9,0
304,Gifu-2010-014a,Msa,36.2,137.2,0,0,0.1,0.2,0,0,0.7,0
305,Gifu-2010-014c,Msa,36.2,137.2,0,0,0,0,0,0,0.9,0
306,Gifu-2010-014d,Msa,36.2,137.2,0,0,0,0,0,0,0.9,0
307,Gifu-2010-015b,Central Japan,36.2,137.2,0,0,0.7,0,0,0.3,0,0
308,Gifu-2010-015c,Central Japan,36.2,137.2,0,0,0.7,0.1,0,0.3,0,0
309,Gifu-2010-015e,Central Japan,36.2,137.2,0,0,0.7,0.1,0,0.3,0,0
310,Gifu-2010-016,Msa,36.2,137.3,0,0,0,0,0,0,0.9,0
311,Gifu-2010-017a,Central Japan,36.2,137.4,0,0,0.7,0.1,0,0.3,0,0
312,Gifu-2010-017b,Central Japan,36.2,137.4,0,0,0.7,0.1,0,0.3,0,0
313,Gifu-2010-017c,Central Japan,36.2,137.4,0,0,0.7,0,0,0.3,0,0
314,Gifu-2010-017d,Central Japan,36.2,137.4,0,0,0.7,0.1,0,0.3,0,0
315,Gifu-2010-017e,Central Japan,36.2,137.4,0,0,0.6,0.1,0,0.3,0,0
316,Gifu-2010-018c,Central Japan,36.2,137.5,0,0,0.7,0.1,0,0.3,0,0
317,Gifu-2010-018e,Central Japan,36.2,137.5,0,0,0.6,0.1,0,0.3,0,0
