Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
KMS133,M. sinensis,Korea/N China,37.875,127.823,0.06,0.005,0.007,0.919,0.001,0.006,0.001,0.001
KMS134,M. sinensis,Korea/N China,37.087,129.028,0.053,0.003,0.008,0.93,0,0.002,0.001,0.002
KMS135,M. sinensis,Korea/N China,37.13,128.168,0.055,0.001,0.001,0.923,0,0.018,0.001,0
KMS136,M. sinensis,Korea/N China,37.457,128.283,0.061,0,0,0.93,0.001,0.002,0.001,0.004
KMS137,M. sinensis,Korea/N China,37.511,129.098,0.111,0.001,0.001,0.875,0,0.01,0.001,0
KMS138,M. sinensis,Korea/N China,37.7,128.138,0.029,0.004,0,0.962,0.002,0.001,0,0.001
KMS139,M. sinensis,Korea/N China,37.348,128.572,0.043,0.001,0.006,0.945,0,0.002,0.001,0.001
KMS140,M. sinensis,Korea/N China,36.436,129.246,0.108,0,0.001,0.858,0,0.033,0,0
KMS141,M. sinensis,Korea/N China,36.743,129.337,0.035,0,0.001,0.939,0,0.023,0.001,0
KMS142,M. sinensis,Korea/N China,37.551,128.212,0.042,0.001,0.011,0.913,0.001,0.028,0.001,0.002
KMS143,M. sinensis,Korea/N China,37.591,128.154,0.033,0.004,0,0.909,0.001,0.045,0.007,0.001
KMS144,M. sinensis,Korea/N China,36.928,129.156,0.034,0,0,0.955,0,0.01,0.001,0.001
KMS145-6,M. sinensis,Korea/N China,37.56,128.366,0.041,0,0,0.958,0,0.001,0,0
KMS147,M. sinensis,Korea/N China,37.584,127.898,0.05,0,0,0.911,0,0.037,0.001,0
KMS148-9,M. sinensis,Korea/N China,37.866,127.675,0.056,0.001,0.001,0.926,0,0.015,0,0
KMS150,M. sinensis,Korea/N China,38.09,128.185,0.062,0,0,0.902,0.001,0.031,0.002,0
KMS151,M. sinensis,Korea/N China,38.195,128.325,0.032,0.001,0,0.965,0,0.001,0,0
KMS152,M. sinensis,Korea/N China,38.197,128.203,0.052,0.001,0,0.92,0,0.023,0.001,0.002
KMS154,M. sinensis,Korea/N China,38.063,128.646,0.074,0,0.003,0.894,0.001,0.024,0,0.003
KMS156,M. sinensis,Korea/N China,38.015,127.802,0.027,0.005,0.001,0.954,0,0.008,0.004,0
KMS158,M. sinensis,Korea/N China,38.02,128.228,0.05,0.019,0,0.885,0.002,0.034,0.004,0.006
KMS159,M. sinensis,Korea/N China,37.82,128.468,0.063,0.001,0.006,0.926,0,0.002,0.001,0
KMS160-1,M. sinensis,Korea/N China,38.18,127.381,0.005,0.001,0.001,0.986,0,0,0,0.006
KMS162,M. sinensis,Korea/N China,37.704,127.401,0.052,0.001,0.003,0.938,0,0.005,0.001,0
KMS163,M. sinensis,Korea/N China,37.727,127.407,0.042,0.007,0,0.921,0.001,0.028,0,0
KMS164,M. sinensis,Korea/N China,37.896,127.768,0.033,0,0,0.957,0,0.007,0.001,0
KMS165,M. sinensis,Korea/N China,37.873,127.522,0.054,0.001,0,0.939,0,0.004,0.001,0
