,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
1137,UI10-00083,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Sarabande',M. sinensis,66
1145,UI10-00084,Ornamental,NA,NA,0,0,0.2,0,0,0.7,0,0,M. sinensis  'Silberfeder (Silver Feather)'--UI10-00084,M. sinensis,67
1153,UI10-00085,Ornamental,NA,NA,0,0,0.8,0.1,0,0,0,0,M. sinensis  'Silberfeder (Silver Feather)'--UI10-00085,M. sinensis,68
1161,UI10-00086,Ornamental,NA,NA,0,0,0.2,0,0,0.7,0,0,M. sinensis  'Silberfeil (Silver Arrow)',M. sinensis,69
1169,UI10-00087,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Silberspinne (Silver Spider)',M. sinensis,70
1177,UI10-00088,Ornamental,NA,NA,0,0,0.7,0.1,0,0.2,0,0,M. sinensis  'Silberturm (Silver Tower)',M. sinensis,71
1185,UI10-00089,Ornamental,NA,NA,0.1,0,0.1,0.2,0,0.3,0.2,0,M. sinensis  'Sirene',M. sinensis,72
1193,UI10-00090,Ornamental,NA,NA,0.1,0,0.3,0.1,0,0.4,0.1,0,M. sinensis  'Stardust',M. sinensis,73
1201,UI10-00092,Ornamental,NA,NA,0,0,0.4,0.1,0,0.4,0,0,M. sinensis  'Strictus',M. sinensis,74
1209,UI10-00094,Ornamental,NA,NA,0,0,0.4,0.2,0,0.3,0,0,M. sinensis  'Super Stripe',M. sinensis,75
1217,UI10-00096,Ornamental,NA,NA,0.1,0,0.2,0.1,0,0.4,0.1,0,M. sinensis  'Undine',M. sinensis,76
1225,UI10-00097,Ornamental,NA,NA,0,0,0.2,0,0,0.7,0,0,M. sinensis  'Variegatus',M. sinensis,79
1233,UI10-00099,Ornamental,NA,NA,0.1,0,0.2,0.1,0,0.4,0.1,0,M. sinensis  'Wetterfahne',M. sinensis,80
1241,UI10-00100,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Yaku Jima',M. sinensis,81
1249,UI10-00101,Ornamental,NA,NA,0,0,0.2,0,0.1,0.6,0,0,M. sinensis  'Yaku Jima Dwarf',M. sinensis,82
1257,UI10-00102,Ornamental,NA,NA,0,0,0.7,0.2,0,0.1,0,0,M. sinensis  'Zebrinus',M. sinensis,83
1265,UI10-00104,Ornamental,NA,NA,0.1,0,0.2,0.2,0,0.3,0.2,0,M. sinensis  'Zwergzebra',M. sinensis,84
1273,UI10-00105,Ornamental,NA,NA,0,0,0.1,0,0.8,0,0,0.1,M. transmorrisonensis  'Arnin's Weeping',M. transmorrisonensis,93
1281,UI10-00106,Ornamental,NA,NA,0,0,0.3,0.1,0.3,0.3,0,0,M. transmorrisonensis,M. transmorrisonensis,92
1289,UI10-00107,M. xgiganteus 3x,NA,NA,0,0,0.1,0,0,0.3,0.6,0,M. ×giganteus  'Illinois',M. ×giganteus,7
1297,UI11-00009,Ornamental,NA,NA,0.1,0,0.2,0.3,0,0.3,0.1,0,M. sinensis  'Positano',M. sinensis,60
1305,UI11-00024,Ornamental,NA,NA,0,0,0.5,0.1,0,0.4,0,0,M. sinensis  'Flamingo',M. sinensis,31
1313,UI12-00001,Ornamental,NA,NA,0.1,0,0.2,0.2,0,0.3,0.2,0,Miscanthus sinensis  'Zwergelefant',M. sinensis,95
1321,UI12-00002,Ornamental,NA,NA,0,0,0.6,0.1,0,0.3,0,0,Miscanthus sinensis  'Malepartus',M. sinensis,94
1329,VA-2010-001-022,US naturalized,38.6,-77.4,0,0,0.2,0,0,0.6,0,0,VA-2010-001-022,M. sinensis,143
1337,VA-2010-001-B(40)-e,US naturalized,38.6,-77.4,0,0,0.2,0,0.1,0.6,0,0,VA-2010-001-B(40)-e,M. sinensis,144
1345,UI12-00005,Ornamental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M. sinensis  'Haiku',M. sinensis,42
